date,market,currency,actual,arima_forecast,lightgbm_forecast
2026-04-20,EU_ETS,EUR,86.71,83.00585604924174,82.3377899020766
2026-04-21,EU_ETS,EUR,82.54,83.00585604924174,82.3119403691086
2026-04-22,EU_ETS,EUR,83.35,83.00585604924174,82.37766842200779
2026-04-23,EU_ETS,EUR,84.42,83.00585604924174,82.47466473195956
2026-04-24,EU_ETS,EUR,85.38,83.00585604924174,82.55110890453193
2026-04-27,EU_ETS,EUR,84.19,83.00585604924174,82.27545968833728
2026-04-28,EU_ETS,EUR,87.57,83.00585604924174,82.30866906042304
2026-04-29,EU_ETS,EUR,85.59,83.00585604924174,82.41247492758218
2026-04-30,EU_ETS,EUR,85.16,83.00585604924174,82.45402852981317
2026-03-20,RGGI,USD,19.76,20.220708419116608,20.190435233814984
2026-03-23,RGGI,USD,21.08,20.19952840870611,20.29393936930673
2026-03-24,RGGI,USD,19.66,20.200502110992364,20.080375350398374
2026-03-25,RGGI,USD,20.8,20.200457347268273,20.28947204553155
2026-03-26,RGGI,USD,20.28,20.200459405177575,20.298673386214016
2026-03-27,RGGI,USD,19.71,20.200459310569926,20.563961991379742
2026-03-30,RGGI,USD,19.48,20.200459314919296,20.592993480607884
2026-03-31,RGGI,USD,19.72,20.200459314719343,20.64589445652899
2026-04-01,RGGI,USD,20.27,20.200459314728533,20.57403697551478
2026-04-02,RGGI,USD,19.61,20.20045931472811,20.55735325478926
2026-04-03,RGGI,USD,20.85,20.20045931472813,20.55758626811866
2026-04-06,RGGI,USD,19.95,20.20045931472813,20.411299686911235
2026-04-07,RGGI,USD,20.4,20.20045931472813,20.480691852064716
2026-04-08,RGGI,USD,20.36,20.20045931472813,20.497892718521566
2026-04-09,RGGI,USD,20.87,20.20045931472813,20.47020611521116
2026-04-10,RGGI,USD,19.82,20.20045931472813,20.589205079879573
2026-04-13,RGGI,USD,20.09,20.20045931472813,20.61443148991486
2026-04-14,RGGI,USD,19.34,20.20045931472813,20.581674434247837
2026-04-15,RGGI,USD,20.08,20.20045931472813,20.62876265380197
2026-04-16,RGGI,USD,20.61,20.20045931472813,20.60624423317179
2026-04-17,RGGI,USD,20.14,20.20045931472813,20.614742810280365
2026-04-20,RGGI,USD,21.21,20.20045931472813,20.694100681839096
2026-04-21,RGGI,USD,20.28,20.20045931472813,20.676939176954495
2026-04-22,RGGI,USD,19.75,20.20045931472813,20.76395073895098
2026-04-23,RGGI,USD,20.24,20.20045931472813,20.758317736137702
2026-04-24,RGGI,USD,19.29,20.20045931472813,20.776165806816735
2026-04-27,RGGI,USD,19.61,20.20045931472813,20.680939315926548
2026-04-28,RGGI,USD,19.4,20.20045931472813,20.669606081047913
2026-04-29,RGGI,USD,20.01,20.20045931472813,20.66462479335146
2026-04-30,RGGI,USD,19.97,20.20045931472813,20.71857810108811
2026-03-20,UK_ETS,GBP,49.75,47.35436863078877,47.37350612905145
2026-03-23,UK_ETS,GBP,48.7,47.35353546718575,47.66966654942113
2026-03-24,UK_ETS,GBP,48.03,47.353536871323364,48.09553100058689
2026-03-25,UK_ETS,GBP,47.99,47.35353686895696,47.19209256425641
2026-03-26,UK_ETS,GBP,47.64,47.353536868960944,46.22086757406699
2026-03-27,UK_ETS,GBP,47.14,47.35353686896094,46.46008969044476
2026-03-30,UK_ETS,GBP,51.3,47.35353686896094,46.71986961376919
2026-03-31,UK_ETS,GBP,50.89,47.35353686896094,46.72970927598591
2026-04-01,UK_ETS,GBP,47.8,47.35353686896094,46.897671643166696
2026-04-02,UK_ETS,GBP,46.74,47.35353686896094,46.54144854184559
2026-04-03,UK_ETS,GBP,49.08,47.35353686896094,45.704319338532805
2026-04-06,UK_ETS,GBP,48.82,47.35353686896094,45.70507925176744
2026-04-07,UK_ETS,GBP,49.82,47.35353686896094,45.99787160818221
2026-04-08,UK_ETS,GBP,50.14,47.35353686896094,45.58024385706219
2026-04-09,UK_ETS,GBP,47.71,47.35353686896094,46.09044275629829
2026-04-10,UK_ETS,GBP,50.77,47.35353686896094,45.48364370086095
2026-04-13,UK_ETS,GBP,48.86,47.35353686896094,45.50909937936355
2026-04-14,UK_ETS,GBP,50.09,47.35353686896094,45.528648523244115
2026-04-15,UK_ETS,GBP,49.05,47.35353686896094,45.56546811897196
2026-04-16,UK_ETS,GBP,50.57,47.35353686896094,45.57605181517962
2026-04-17,UK_ETS,GBP,46.62,47.35353686896094,45.706992791996534
2026-04-20,UK_ETS,GBP,50.51,47.35353686896094,45.610716628647
2026-04-21,UK_ETS,GBP,48.6,47.35353686896094,45.613455156649344
2026-04-22,UK_ETS,GBP,49.76,47.35353686896094,45.54736235823814
2026-04-23,UK_ETS,GBP,51.28,47.35353686896094,45.617369063553326
2026-04-24,UK_ETS,GBP,48.76,47.35353686896094,45.590692674236095
2026-04-27,UK_ETS,GBP,48.69,47.35353686896094,45.726992537013
2026-04-28,UK_ETS,GBP,49.45,47.35353686896094,45.722158366102576
2026-04-29,UK_ETS,GBP,49.42,47.35353686896094,45.71776136373134
2026-04-30,UK_ETS,GBP,48.7,47.35353686896094,45.705946096697566
